"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"92",92,"carlitos",1323084235,620290,"05/12/2011 11:23","no",15,1.02,7.5,-94,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.03,-19,3,21,-12,601,-314,-131,17.5,-162,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-289,110,-125,-367,341,506,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78106438,-70.91243032,-84.52727342,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,0,-235,46,-270,-556,287,-71,23.6,-63.3,-147,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,0,191,204,-212,-18,655,472,"A"
"105",105,"carlitos",1323084236,140334,"05/12/2011 11:23","no",16,1.03,7.4,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,-21,4,23,-6,599,-311,-132,17,-163,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.02,-0.02,-286,109,-121,-370,342,513,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.54787837,-70.13067278,-85.36429634,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.02,-232,45,-271,-556,293,-70,22.8,-63.5,-146,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.03,193,206,-214,-10,660,472,"A"
"114",114,"carlitos",1323084236,496356,"05/12/2011 11:23","no",16,1.12,7.4,-94.1,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-21,4,24,1,598,-293,-133,16.6,-163,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.02,-288,110,-123,-361,343,515,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.72421627,-70.1717217,-85.2789485,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.02,-234,46,-273,-558,293,-70,22.2,-63.4,-146,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.02,192,203,-214,-7,655,473,"A"
"132",132,"carlitos",1323084237,196272,"05/12/2011 11:23","no",17,1.4,7.64,-93.9,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.02,-20,3,26,-5,603,-318,-133,15.5,-164,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.02,-288,109,-122,-367,333,515,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2272917,-70.91576678,-84.40838906,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,-0.02,0,-237,48,-272,-552,290,-73,21,-63.7,-145,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0,192,204,-216,-6,654,476,"A"
"141",141,"carlitos",1323084237,736281,"05/12/2011 11:23","no",17,1.4,7.22,-93.8,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.03,-19,4,20,-5,607,-307,-134,15,-164,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.03,-0.02,-287,107,-122,-361,330,515,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2272917,-70.91576678,-84.40838906,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,-0.02,0,-237,48,-272,-552,290,-73,20.2,-63.6,-144,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,191,202,-215,-11,656,471,"A"
"163",163,"carlitos",1323084238,880336,"05/12/2011 11:23","no",18,0.99,7.34,-93.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,-0.02,-21,3,28,-6,603,-293,-135,13.8,-165,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.02,0,-287,111,-123,-367,336,518,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,123.7075443,27.6039401,-18.27130115,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,0.4,-0.11,15,52,-10,-473,415,-68,19,-63.4,-143,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.03,-0.02,195,203,-216,-16,653,466,"A"
"170",170,"pedro",1323094969,316316,"05/12/2011 14:22","no",46,129,28.9,0.87,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,-0.03,-0.48,-42,68,-188,8,567,-409,-168,-9.74,150,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,-0.03,-0.05,-217,-77,-86,-426,356,455,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.87968291,7.732937594,79.60293262,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,-0.02,-0.1,4,-36,37,493,-561,-124,83.4,-1.53,108,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.03,-0.08,146,237,-198,-145,749,628,"A"
"175",175,"pedro",1323094969,776301,"05/12/2011 14:22","no",46,129,28.6,0.78,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,-0.05,-0.46,-42,67,-186,4,564,-400,-170,-9.28,148,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,-0.05,-0.1,-216,-77,-88,-426,355,460,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.97517014,6.598193217,127.3199636,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,-0.13,-0.34,6,-26,87,485,-566,-74,82.9,-0.56,107,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,-0.03,-0.05,153,227,-191,-153,751,642,"A"
"179",179,"pedro",1323094969,904320,"05/12/2011 14:22","no",46,128,28.7,0.85,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.05,-0.46,-46,70,-183,1,568,-405,-171,-9.23,147,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,-0.05,-0.08,-216,-74,-87,-430,353,455,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.06653219,12.82545526,140.7409482,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.1,-0.39,14,-11,108,468,-578,-45,82.7,-0.67,106,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.05,-0.05,151,223,-196,-150,754,650,"A"
"181",181,"pedro",1323094969,924339,"05/12/2011 14:22","no",46,128,28.8,0.72,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,-0.03,-0.46,-44,69,-187,1,567,-400,-172,-9.22,147,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,-0.06,-0.03,-215,-76,-90,-433,355,455,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.823943896,16.63620836,139.0740226,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.11,-0.18,17,-7,101,468,-580,-45,82.7,-0.62,106,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,-0.05,-0.03,144,219,-195,-153,756,642,"A"
"186",186,"pedro",1323094970,100314,"05/12/2011 14:22","no",47,128,28.5,0.95,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39,-0.02,-0.44,-44,68,-184,5,561,-399,-172,-9.13,145,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,0,-0.02,-215,-73,-89,-429,362,461,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.64626212,13.0229409,106.4200986,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,-0.16,-0.28,15,-54,101,458,-586,-44,82.6,-0.58,107,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,-0.03,0,153,230,-188,-148,751,646,"A"
"189",189,"pedro",1323094970,300333,"05/12/2011 14:22","no",47,129,28.2,1.32,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,-0.03,-0.44,-43,69,-184,6,568,-390,-173,-8.75,144,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,-0.05,-0.07,-218,-79,-88,-434,357,447,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.43208654,9.583718772,115.3964837,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,-0.21,-0.3,9,-37,86,463,-578,-45,82.1,-0.72,107,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.02,-0.11,149,230,-196,-148,746,656,"A"
"192",192,"pedro",1323094970,316422,"05/12/2011 14:22","no",47,129,28.1,1.5,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,-0.03,-0.48,-47,69,-187,2,570,-399,-174,-8.63,144,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,-0.05,-0.08,-215,-77,-87,-430,362,449,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.47814054,21.08562974,124.4842447,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,-0.19,-0.21,19,-22,86,472,-577,-37,81.9,-0.84,107,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,-0.08,155,229,-194,-146,751,659,"A"
